food,category,serving_size,fullness_factor,completeness_score,calories,total_carbs,dietary_fibre,starch,sugars,total_fat,saturated_fat,monosaturated_fat,polysaturated_fat,protien,water,source
"Alcoholic beverage, liqueur, coffee with cream, 34 proof",beverages,100,1.5,7,327.00024,20.901812,0,0,19.75916,15.69906,9.664878,4.458656,0.66896653,2.799857,46.498146,https://nutritiondata.self.com/facts/beverages/3995/0
"Alcoholic beverage, liqueur, coffee, 53 proof",beverages,100,1.3,0,325.95148,46.797848,0,0,46.42352,0.29997736,0.10601663,0.022001525,0.104990266,0.10000421,31.00055,https://nutritiondata.self.com/facts/beverages/3994/0
"Alcoholic beverage, liqueur, coffee, 63 proof",beverages,100,1.4,0,308.03433,32.19824,0,0,32.19824,0.29997736,0.10601663,0.022001525,0.104990266,0.10000421,41.393475,https://nutritiondata.self.com/facts/beverages/4012/0
"Alcoholic beverage, pina colada, canned",beverages,100,1.6,5,237.0056,27.597202,0.10000421,0,0,7.6003,6.5708833,0.44195977,0.13702036,0.6000336,54.898907,https://nutritiondata.self.com/facts/beverages/3831/0
"Alcoholic beverage, pina colada, prepared-from-recipe",beverages,100,1.8,12,174.00005,22.657007,0.29997736,0,22.33183,1.8802135,1.6359307,0.08200398,0.0330048,0.4200384,64.984184,https://nutritiondata.self.com/facts/beverages/3832/0
"Alcoholic beverage, rice (sake)",beverages,100,2,2,134.00685,5.0005703,0,0,0,0,0,0,0,0.49995255,78.39396,https://nutritiondata.self.com/facts/beverages/7700/0
"Alcoholic beverage, tequila sunrise, canned",beverages,100,2.2,16,109.983536,11.301712,0,0,0,0.10000421,0.012998266,0,0,0.29997736,78.79793,https://nutritiondata.self.com/facts/beverages/3833/0
"Alcoholic beverage, whiskey sour, canned",beverages,100,2.1,3,118.9893,13.399559,0.10000421,0,0,0,0,0,0,0,76.897446,https://nutritiondata.self.com/facts/beverages/3836/0
"Alcoholic beverage, whiskey sour, prepared from item 14028",beverages,100,1.9,3,153.01889,12.818484,0,0,12.781475,0.059997056,0.005000487,0.00100015,0.011001872,0.059997056,72.43738,https://nutritiondata.self.com/facts/beverages/3838/0
"Alcoholic beverage, whiskey sour, prepared from item 14530",beverages,100,1.9,3,148.99292,13.101592,0,0,0,0,0.005000487,0.00100015,0.012001306,0,72.60045,https://nutritiondata.self.com/facts/beverages/4009/0
"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",beverages,100,1.8,4,164.01341,15.851093,0,0,15.810408,0.02000271,0.003000598,0.00100015,0.006000858,0.10000421,69.140656,https://nutritiondata.self.com/facts/beverages/3835/0
"Alcoholic beverage, wine, cooking",beverages,100,3.3,13,49.999485,6.300066,0,0,1.5499315,0,0,0,0,0.49995255,88.91421,https://nutritiondata.self.com/facts/beverages/7630/0
"Alcoholic beverage, wine, dessert, dry",beverages,100,1.9,5,151.9901,11.670688,0,0,1.0900112,0,0,0,0,0.19998784,72.53052,https://nutritiondata.self.com/facts/beverages/4013/0
"Alcoholic beverage, wine, dessert, sweet",beverages,100,1.8,4,160.00629,13.691101,0,0,7.780657,0,0,0,0,0.19998784,70.508865,https://nutritiondata.self.com/facts/beverages/3845/0
"Alcoholic beverage, wine, light",beverages,100,3.4,12,48.99776,1.1699044,0,0,1.150138,0,0,0,0,0.07000633,92.2307,https://nutritiondata.self.com/facts/beverages/7631/0
"Alcoholic beverage, wine, table, all",beverages,100,2.5,11,83.00719,2.7200406,0,0,0.790006,0,0,0,0,0.07000633,86.574844,https://nutritiondata.self.com/facts/beverages/3846/0
"Alcoholic beverage, wine, table, red",beverages,100,2.5,12,85.004036,2.6095874,0,0,0.6200531,0,0,0,0,0.07000633,86.49145,https://nutritiondata.self.com/facts/beverages/3847/0
"Alcoholic Beverage, wine, table, red, Barbera",beverages,100,2.5,0,85.004036,2.7899773,0,0,0,0,0,0,0,0.07000633,86.29718,https://nutritiondata.self.com/facts/beverages/9202/0
"Alcoholic Beverage, wine, table, red, Burgundy",beverages,100,2.5,0,85.992775,3.6898804,0,0,0,0,0,0,0,0.07000633,85.6069,https://nutritiondata.self.com/facts/beverages/9221/0
"Alcoholic Beverage, wine, table, red, Cabernet Franc",beverages,100,2.5,0,83.00719,2.4502878,0,0,0,0,0,0,0,0.07000633,86.60266,https://nutritiondata.self.com/facts/beverages/9199/0
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",beverages,100,2.5,0,83.00719,2.600379,0,0,0,0,0,0,0,0.07000633,86.547035,https://nutritiondata.self.com/facts/beverages/9198/0
"Alcoholic Beverage, wine, table, red, Carignane",beverages,100,2.7,0,73.98957,2.399635,0,0,0,0,0,0,0,0.07000633,87.89188,https://nutritiondata.self.com/facts/beverages/9208/0
"Alcoholic Beverage, wine, table, red, Claret",beverages,100,2.5,0,83.00719,3.0097914,0,0,0,0,0,0,0,0.07000633,86.38039,https://nutritiondata.self.com/facts/beverages/9205/0
"Alcoholic Beverage, wine, table, red, Gamay",beverages,100,2.6,0,77.992065,2.3796682,0,0,0,0,0,0,0,0.07000633,87.49749,https://nutritiondata.self.com/facts/beverages/9223/0
"Alcoholic Beverage, wine, table, red, Lemberger",beverages,100,2.6,0,79.99666,2.4597552,0,0,0,0,0,0,0,0.07000633,87.020966,https://nutritiondata.self.com/facts/beverages/9206/0
"Alcoholic Beverage, wine, table, red, Merlot",beverages,100,2.5,12,83.00719,2.5100627,0,0,0.6200531,0,0,0,0,0.07000633,86.60266,https://nutritiondata.self.com/facts/beverages/9241/0
"Alcoholic Beverage, wine, table, red, Mouvedre",beverages,100,2.4,0,88.00489,2.6399527,0,0,0,0,0,0,0,0.07000633,85.79962,https://nutritiondata.self.com/facts/beverages/9224/0
"Alcoholic Beverage, wine, table, red, Petite Sirah",beverages,100,2.5,0,85.004036,2.680128,0,0,0,0,0,0,0,0.07000633,86.21405,https://nutritiondata.self.com/facts/beverages/9204/0
"Alcoholic Beverage, wine, table, red, Pinot Noir",beverages,100,2.5,0,82.00008,2.3103406,0,0,0,0,0,0,0,0.07000633,86.93714,https://nutritiondata.self.com/facts/beverages/9200/0
"Alcoholic Beverage, wine, table, red, Sangiovese",beverages,100,2.5,0,85.992775,2.6196702,0,0,0,0,0,0,0,0.07000633,86.158676,https://nutritiondata.self.com/facts/beverages/9207/0
"Alcoholic Beverage, wine, table, red, Syrah",beverages,100,2.5,0,83.00719,2.5804005,0,0,0,0,0,0,0,0.07000633,86.51924,https://nutritiondata.self.com/facts/beverages/9201/0
"Alcoholic Beverage, wine, table, red, Zinfandel",beverages,100,2.4,0,88.00489,2.859873,0,0,0,0,0,0,0,0.07000633,85.71698,https://nutritiondata.self.com/facts/beverages/9203/0
"Alcoholic beverage, wine, table, white",beverages,100,2.5,9,82.00008,2.600379,0,0,0.95999867,0,0,0,0,0.07000633,86.8534,https://nutritiondata.self.com/facts/beverages/3849/0
